VECTOR	ANNOTATION	CLUSTER
NC:allumeuse	B	1
NC:baiseur	B	3
NC:baratineur	B	1
NC:bêcheur	B	1
NC:blasphémateur	B	3
NC:bluffeur	B	1
NC:bouffeur	B	3
NC:bouquineur	B	1
NC:brailleur	B	1
NC:bricoleur	B	2
NC:bûcheur	B	1
NC:buveur	B	3
NC:buveuse	B	1
NC:carotteur	B	1
NC:charmeur	B	3
NC:charmeuse	B	1
NC:chicaneur	B	3
NC:chieur	B	3
NC:chineur	B	2
NC:cogneur	B	1
NC:corrupteur	B	3
NC:démystificateur	B	1
NC:dragueur	B	2
NC:dragueuse	B	1
NC:dribbleur	B	3
NC:embrouilleur	B	1
NC:emmerdeur	B	3
NC:enculeur	B	3
NC:endormeur	B	3
NC:enjôleur	B	1
NC:enquiquineur	B	1
NC:expérimentateur	B	3
NC:feinteur	B	3
NC:flagorneur	B	3
NC:flatteur	B	3
NC:louangeur	B	3
NC:magouilleur	B	3
NC:mangeur	B	3
NC:mateur	B	1
NC:moralisateur	B	3
NC:mordeur	B	1
NC:plaqueur	B	3
NC:pollueur	B	3
NC:pondeuse	B	2
NC:provocateur	B	3
NC:punisseur	B	1
NC:railleur	B	3
NC:séducteur	B	3
NC:sermonneur	B	3
NC:tripoteur	B	1
NC:accusateur	O	3
NC:acquéreur	O	2
NC:agresseur	O	3
NC:baigneur	O	2
NC:campeur	O	2
NC:consolateur	O	3
NC:continuateur	O	3
NC:contradicteur	O	3
NC:créateur	O	2
NC:déchiffreur	O	2
NC:découpeur	O	3
NC:démolisseur	O	3
NC:dénicheur	O	3
NC:dénonciateur	O	3
NC:déterreur	O	1
NC:détrousseur	O	3
NC:dîneur	O	2
NC:empoisonneur	O	3
NC:endosseur	O	1
NC:envahisseur	O	3
NC:escaladeur	O	3
NC:expéditeur	O	3
NC:fécondateur	O	1
NC:fondateur	O	2
NC:fondatrice	O	2
NC:instauratrice	O	3
NC:interpolateur	O	1
NC:kidnappeur	O	3
NC:manieur	O	3
NC:marieur	O	3
NC:modeleur	O	2
NC:narrateur	O	3
NC:offenseur	O	3
NC:ourdisseur	O	2
NC:pagayeur	O	2
NC:persécuteur	O	3
NC:pourchasseur	O	1
NC:promeneur	O	3
NC:ravisseur	O	3
NC:réconciliateur	O	3
NC:reconstructeur	O	1
NC:saboteur	O	3
NC:soupeur	O	1
NC:suborneur	O	3
NC:tourmenteur	O	3
NC:transgresseur	O	3
NC:triomphateur	O	3
NC:vainqueur	O	1
NC:vengeur	O	3
NC:dépeceur	O	3
NC:balayeur	F	2
NC:cadreur	F	2
NC:cardeur	F	2
NC:chausseur	F	2
NC:chercheur	F	2
NC:cireur	F	2
NC:coiffeur	F	2
NC:déménageur	F	2
NC:dépanneur	F	2
NC:éboueur	F	2
NC:éducateur	F	2
NC:éducatrice	F	2
NC:élagueur	F	2
NC:embaumeur	F	2
NC:équarrisseur	F	2
NC:étameur	F	2
NC:foreur	F	1
NC:fouleur	F	1
NC:inspecteur	F	2
NC:instructeur	F	2
NC:masseur	F	2
NC:mouleur	F	2
NC:ouvreur	F	1
NC:ouvreuse	F	2
NC:paveur	F	2
NC:prêcheur	F	3
NC:professeur	F	2
NC:ramoneur	F	2
NC:relieur	F	2
NC:rempailleur	F	2
NC:rétameur	F	2
NC:retoucheur	F	2
NC:rôtisseur	F	2
NC:sauveteur	F	2
NC:sélectionneur	F	1
NC:serveuse	F	2
NC:shampouineur	F	2
NC:soigneur	F	2
NC:soudeur	F	2
NC:talonneur	F	1
NC:tanneur	F	2
NC:vanneur	F	1
NC:vernisseur	F	2
NC:vidangeur	F	2
NC:serviteur	F	3
NC:videur	F	2
NC:scieur	F	2
NC:sonneur	F	2
NC:maquilleur	F	2
NC:fraiseur	F	2
