VECTOR	ANNOTATION	CLUSTER
NC:allumeuse	B	3
NC:baiseur	B	3
NC:baratineur	B	3
NC:bêcheur	B	3
NC:blasphémateur	B	2
NC:bluffeur	B	3
NC:bouffeur	B	2
NC:bouquineur	B	3
NC:brailleur	B	3
NC:bricoleur	B	2
NC:bûcheur	B	3
NC:buveur	B	2
NC:buveuse	B	3
NC:carotteur	B	3
NC:charmeur	B	2
NC:charmeuse	B	3
NC:chicaneur	B	3
NC:chieur	B	2
NC:chineur	B	2
NC:cogneur	B	3
NC:corrupteur	B	2
NC:démystificateur	B	1
NC:dragueur	B	1
NC:dragueuse	B	3
NC:dribbleur	B	1
NC:embrouilleur	B	3
NC:emmerdeur	B	2
NC:enculeur	B	3
NC:endormeur	B	3
NC:enjôleur	B	3
NC:enquiquineur	B	3
NC:expérimentateur	B	1
NC:feinteur	B	3
NC:flagorneur	B	2
NC:flatteur	B	2
NC:louangeur	B	2
NC:magouilleur	B	2
NC:mangeur	B	2
NC:mateur	B	3
NC:moralisateur	B	2
NC:mordeur	B	2
NC:plaqueur	B	1
NC:pollueur	B	2
NC:pondeuse	B	2
NC:provocateur	B	2
NC:punisseur	B	3
NC:railleur	B	2
NC:séducteur	B	2
NC:sermonneur	B	2
NC:tripoteur	B	3
NC:accusateur	O	2
NC:acquéreur	O	1
NC:agresseur	O	2
NC:baigneur	O	2
NC:campeur	O	2
NC:consolateur	O	2
NC:continuateur	O	1
NC:contradicteur	O	2
NC:créateur	O	1
NC:déchiffreur	O	1
NC:découpeur	O	2
NC:démolisseur	O	2
NC:dénicheur	O	1
NC:dénonciateur	O	2
NC:déterreur	O	3
NC:détrousseur	O	2
NC:dîneur	O	2
NC:empoisonneur	O	2
NC:endosseur	O	3
NC:envahisseur	O	2
NC:escaladeur	O	3
NC:expéditeur	O	2
NC:fécondateur	O	3
NC:fondateur	O	1
NC:fondatrice	O	1
NC:instauratrice	O	2
NC:interpolateur	O	3
NC:kidnappeur	O	2
NC:manieur	O	2
NC:marieur	O	2
NC:modeleur	O	1
NC:narrateur	O	2
NC:offenseur	O	2
NC:ourdisseur	O	2
NC:pagayeur	O	2
NC:persécuteur	O	2
NC:pourchasseur	O	3
NC:promeneur	O	2
NC:ravisseur	O	2
NC:réconciliateur	O	2
NC:reconstructeur	O	1
NC:saboteur	O	2
NC:soupeur	O	3
NC:suborneur	O	2
NC:tourmenteur	O	2
NC:transgresseur	O	2
NC:triomphateur	O	2
NC:vainqueur	O	3
NC:vengeur	O	2
NC:dépeceur	O	2
NC:balayeur	F	2
NC:cadreur	F	1
NC:cardeur	F	2
NC:chausseur	F	2
NC:chercheur	F	1
NC:cireur	F	2
NC:coiffeur	F	2
NC:déménageur	F	2
NC:dépanneur	F	2
NC:éboueur	F	2
NC:éducateur	F	1
NC:éducatrice	F	1
NC:élagueur	F	2
NC:embaumeur	F	2
NC:équarrisseur	F	2
NC:étameur	F	2
NC:foreur	F	2
NC:fouleur	F	2
NC:inspecteur	F	1
NC:instructeur	F	1
NC:masseur	F	2
NC:mouleur	F	1
NC:ouvreur	F	1
NC:ouvreuse	F	2
NC:paveur	F	2
NC:prêcheur	F	2
NC:professeur	F	1
NC:ramoneur	F	2
NC:relieur	F	1
NC:rempailleur	F	2
NC:rétameur	F	2
NC:retoucheur	F	1
NC:rôtisseur	F	2
NC:sauveteur	F	2
NC:sélectionneur	F	1
NC:serveuse	F	2
NC:shampouineur	F	1
NC:soigneur	F	1
NC:soudeur	F	1
NC:talonneur	F	1
NC:tanneur	F	2
NC:vanneur	F	3
NC:vernisseur	F	1
NC:vidangeur	F	2
NC:serviteur	F	2
NC:videur	F	2
NC:scieur	F	2
NC:sonneur	F	2
NC:maquilleur	F	1
NC:fraiseur	F	1
