VECTOR	ANNOTATION	CLUSTER
NC:allumeuse	B	3
NC:baiseur	B	3
NC:baratineur	B	3
NC:bêcheur	B	3
NC:blasphémateur	B	2
NC:bluffeur	B	3
NC:bouffeur	B	3
NC:bouquineur	B	1
NC:brailleur	B	3
NC:bricoleur	B	1
NC:bûcheur	B	2
NC:buveur	B	1
NC:buveuse	B	3
NC:carotteur	B	3
NC:charmeur	B	3
NC:charmeuse	B	3
NC:chicaneur	B	2
NC:chieur	B	3
NC:chineur	B	1
NC:cogneur	B	3
NC:corrupteur	B	2
NC:démystificateur	B	2
NC:dragueur	B	1
NC:dragueuse	B	3
NC:dribbleur	B	2
NC:embrouilleur	B	3
NC:emmerdeur	B	2
NC:enculeur	B	3
NC:endormeur	B	3
NC:enjôleur	B	3
NC:enquiquineur	B	3
NC:expérimentateur	B	2
NC:feinteur	B	3
NC:flagorneur	B	2
NC:flatteur	B	2
NC:louangeur	B	2
NC:magouilleur	B	2
NC:mangeur	B	3
NC:mateur	B	3
NC:moralisateur	B	2
NC:mordeur	B	3
NC:plaqueur	B	2
NC:pollueur	B	2
NC:pondeuse	B	1
NC:provocateur	B	2
NC:punisseur	B	3
NC:railleur	B	2
NC:séducteur	B	2
NC:sermonneur	B	2
NC:tripoteur	B	3
NC:accusateur	O	2
NC:acquéreur	O	1
NC:agresseur	O	2
NC:baigneur	O	1
NC:campeur	O	1
NC:consolateur	O	2
NC:continuateur	O	2
NC:contradicteur	O	2
NC:créateur	O	2
NC:déchiffreur	O	2
NC:découpeur	O	3
NC:démolisseur	O	1
NC:dénicheur	O	3
NC:dénonciateur	O	2
NC:déterreur	O	3
NC:détrousseur	O	3
NC:dîneur	O	1
NC:empoisonneur	O	2
NC:endosseur	O	3
NC:envahisseur	O	2
NC:escaladeur	O	3
NC:expéditeur	O	2
NC:fécondateur	O	3
NC:fondateur	O	2
NC:fondatrice	O	2
NC:instauratrice	O	2
NC:interpolateur	O	3
NC:kidnappeur	O	2
NC:manieur	O	3
NC:marieur	O	2
NC:modeleur	O	1
NC:narrateur	O	2
NC:offenseur	O	2
NC:ourdisseur	O	1
NC:pagayeur	O	1
NC:persécuteur	O	2
NC:pourchasseur	O	3
NC:promeneur	O	1
NC:ravisseur	O	2
NC:réconciliateur	O	2
NC:reconstructeur	O	2
NC:saboteur	O	2
NC:soupeur	O	3
NC:suborneur	O	3
NC:tourmenteur	O	2
NC:transgresseur	O	2
NC:triomphateur	O	2
NC:vainqueur	O	3
NC:vengeur	O	3
NC:dépeceur	O	1
NC:balayeur	F	1
NC:cadreur	F	1
NC:cardeur	F	1
NC:chausseur	F	1
NC:chercheur	F	2
NC:cireur	F	1
NC:coiffeur	F	1
NC:déménageur	F	1
NC:dépanneur	F	1
NC:éboueur	F	1
NC:éducateur	F	2
NC:éducatrice	F	1
NC:élagueur	F	1
NC:embaumeur	F	1
NC:équarrisseur	F	1
NC:étameur	F	1
NC:foreur	F	3
NC:fouleur	F	1
NC:inspecteur	F	2
NC:instructeur	F	2
NC:masseur	F	1
NC:mouleur	F	1
NC:ouvreur	F	2
NC:ouvreuse	F	1
NC:paveur	F	1
NC:prêcheur	F	2
NC:professeur	F	2
NC:ramoneur	F	1
NC:relieur	F	1
NC:rempailleur	F	1
NC:rétameur	F	1
NC:retoucheur	F	1
NC:rôtisseur	F	1
NC:sauveteur	F	1
NC:sélectionneur	F	2
NC:serveuse	F	1
NC:shampouineur	F	2
NC:soigneur	F	2
NC:soudeur	F	1
NC:talonneur	F	2
NC:tanneur	F	1
NC:vanneur	F	1
NC:vernisseur	F	1
NC:vidangeur	F	1
NC:serviteur	F	2
NC:videur	F	1
NC:scieur	F	1
NC:sonneur	F	1
NC:maquilleur	F	2
NC:fraiseur	F	1
