VECTOR	ANNOTATION	CLUSTER
NC:allumeuse	B	2
NC:baiseur	B	2
NC:baratineur	B	2
NC:bêcheur	B	2
NC:blasphémateur	B	3
NC:bluffeur	B	2
NC:bouffeur	B	2
NC:bouquineur	B	2
NC:brailleur	B	2
NC:bricoleur	B	2
NC:bûcheur	B	1
NC:buveur	B	2
NC:buveuse	B	2
NC:carotteur	B	1
NC:charmeur	B	3
NC:charmeuse	B	2
NC:chicaneur	B	3
NC:chieur	B	1
NC:chineur	B	2
NC:cogneur	B	1
NC:corrupteur	B	3
NC:démystificateur	B	3
NC:dragueur	B	1
NC:dragueuse	B	2
NC:dribbleur	B	1
NC:embrouilleur	B	2
NC:emmerdeur	B	1
NC:enculeur	B	2
NC:endormeur	B	3
NC:enjôleur	B	2
NC:enquiquineur	B	1
NC:expérimentateur	B	1
NC:feinteur	B	1
NC:flagorneur	B	3
NC:flatteur	B	3
NC:louangeur	B	3
NC:magouilleur	B	2
NC:mangeur	B	2
NC:mateur	B	2
NC:moralisateur	B	3
NC:mordeur	B	2
NC:plaqueur	B	1
NC:pollueur	B	1
NC:pondeuse	B	2
NC:provocateur	B	3
NC:punisseur	B	3
NC:railleur	B	3
NC:séducteur	B	3
NC:sermonneur	B	1
NC:tripoteur	B	2
NC:accusateur	O	1
NC:acquéreur	O	1
NC:agresseur	O	1
NC:baigneur	O	2
NC:campeur	O	1
NC:consolateur	O	3
NC:continuateur	O	3
NC:contradicteur	O	1
NC:créateur	O	3
NC:déchiffreur	O	3
NC:découpeur	O	2
NC:démolisseur	O	1
NC:dénicheur	O	2
NC:dénonciateur	O	1
NC:déterreur	O	2
NC:détrousseur	O	2
NC:dîneur	O	2
NC:empoisonneur	O	2
NC:endosseur	O	2
NC:envahisseur	O	1
NC:escaladeur	O	2
NC:expéditeur	O	1
NC:fécondateur	O	3
NC:fondateur	O	3
NC:fondatrice	O	3
NC:instauratrice	O	3
NC:interpolateur	O	2
NC:kidnappeur	O	1
NC:manieur	O	1
NC:marieur	O	2
NC:modeleur	O	2
NC:narrateur	O	3
NC:offenseur	O	1
NC:ourdisseur	O	2
NC:pagayeur	O	1
NC:persécuteur	O	3
NC:pourchasseur	O	2
NC:promeneur	O	2
NC:ravisseur	O	1
NC:réconciliateur	O	3
NC:reconstructeur	O	3
NC:saboteur	O	1
NC:soupeur	O	2
NC:suborneur	O	2
NC:tourmenteur	O	1
NC:transgresseur	O	3
NC:triomphateur	O	1
NC:vainqueur	O	1
NC:vengeur	O	3
NC:dépeceur	O	2
NC:balayeur	F	1
NC:cadreur	F	1
NC:cardeur	F	2
NC:chausseur	F	2
NC:chercheur	F	1
NC:cireur	F	2
NC:coiffeur	F	2
NC:déménageur	F	2
NC:dépanneur	F	2
NC:éboueur	F	2
NC:éducateur	F	3
NC:éducatrice	F	2
NC:élagueur	F	2
NC:embaumeur	F	2
NC:équarrisseur	F	2
NC:étameur	F	2
NC:foreur	F	2
NC:fouleur	F	2
NC:inspecteur	F	1
NC:instructeur	F	1
NC:masseur	F	2
NC:mouleur	F	2
NC:ouvreur	F	1
NC:ouvreuse	F	2
NC:paveur	F	2
NC:prêcheur	F	3
NC:professeur	F	3
NC:ramoneur	F	2
NC:relieur	F	2
NC:rempailleur	F	2
NC:rétameur	F	2
NC:retoucheur	F	2
NC:rôtisseur	F	2
NC:sauveteur	F	1
NC:sélectionneur	F	1
NC:serveuse	F	2
NC:shampouineur	F	2
NC:soigneur	F	1
NC:soudeur	F	2
NC:talonneur	F	1
NC:tanneur	F	2
NC:vanneur	F	2
NC:vernisseur	F	2
NC:vidangeur	F	2
NC:serviteur	F	3
NC:videur	F	2
NC:scieur	F	2
NC:sonneur	F	2
NC:maquilleur	F	2
NC:fraiseur	F	2
