plombier	0.6767601677256674	a
mécano	0.6574280755951276	a
machiniste	0.6520538431106859	a
garagiste	0.6468504539182103	a
conducteur	0.6409412131448627	a
soudeur	0.6349466781619407	a
artificier	0.6204543778999383	a
déménageur	0.6200881619850755	a
bricoleur	0.6188321294897411	a
coiffeur	0.6071886424581712	a
acheteur	0.6031855418637413	a
turfiste	0.5978787959291527	a
technicien	0.596438789452478	a
réparateur	0.5951535661610626	a
tuyauteur	0.5949049433356977	a
coursier	0.5928573288224899	a
contremaître	0.5918339484796216	a
vendeur	0.5915167837785738	a
fabricant	0.5907412081959368	a
pompiste	0.5902538815684351	a
armurier	0.5897195476776762	a
videur	0.5882729086505936	a
gabier	0.5818918326837988	a
prestidigitateur	0.581412467257943	a
escroc	0.5809617758397762	a
bottier	0.580950365458793	a
mécanicien	0.5804663560818816	a
expérimentateur	0.5797310088490217	a
magasinier	0.578212369352998	a
confectionneur	0.5757680730186622	a
optométriste	0.5747462102890405	a
programmeur	0.6136701485877809	a
client	0.6598140721849395	b
rabatteur	0.625102110813472	b
mouchard	0.6244730937199712	b
pousseur	0.6496621309548171	b
nettoyeur	0.6388489667599293	b
manipulateur	0.6320904857202926	b
installateur	0.6201553656785085	b
opérateur	0.6155269604301291	b
calculateur	0.6142394230595509	b
graisseur	0.601840246374491	b
polisseur	0.5850192082676691	b
basculeur	0.578507487868905	b
transmetteur	0.5760484569194968	b
transformateur	0.5757821348279972	b
communicateur	0.5738290253670416	b
aspirateur	0.682630449777702	I
sèche-cheveux	0.6245066658918323	I
antivol	0.6158278721233316	I
lance-pierre	0.6114422305852953	I
microphone	0.6108892941118789	I
interrupteur	0.6107726915799397	I
minuteur	0.6107180822303034	I
ventilateur	0.6097222336302208	I
fusible	0.6050823875120794	I
ordinateur	0.603828340621905	I
coupe-circuit	0.5995489592340937	I
perforateur	0.5990762281979801	I
électro-aimant	0.5987871960131473	I
rhéostat	0.5963171785204093	I
vaporisateur	0.5922156107768136	I
onduleur	0.5912532428118693	I
grille-pain	0.5906730504092224	I
grappin	0.5903610690756232	I
tournevis	0.5898191803740976	I
sécateur	0.5879334370473653	I
aimant	0.5869559208385496	I
serre-frein	0.5863206201800034	I
leurre	0.5849401570705287	I
marteau-piqueur	0.58400777059819	I
extincteur	0.5830350900101056	I
pied-de-biche	0.580739267284624	I
pacemaker	0.5794782333150709	I
joystick	0.5790464953469401	I
poussoir	0.5790119748450531	I
gyroscope	0.5786848954796535	I
électroaimant	0.5784785293001438	I
ouvre-boîtes	0.577527763475032	I
tranquillisant	0.576595853668519	I
taser	0.576593081224564	I
vibrateur	0.631594527158584	I
tourne-à-gauche	0.6059260179764946	I
démarreur	0.5974737654173979	I
palan	0.5906715376307596	I
détrompeur	0.5805077920616196	I
injecteur	0.5792191349551833	I
mélangeur	0.5784736696977061	I
coupleur	0.577823973196242	I
extracteur	0.5776124825818462	I
nébuliseur	0.5766234501451032	I
détendeur	0.5761737162011702	I
robot	0.6132139918827518	o
arceau-cage	0.5998367932583945	o
accessoire	0.5870445672825996	o
gadget	0.5862217965480297	o
caddy	0.5830565169514296	b
chien	0.5828010278862075	o
double-saut	0.5963193822968137	o
composant	0.5763560676891812	o
