cofondatrice	0.6807737648688671
co-fondatrice	0.6370949104451736
fondatrice	0.6207310213959342
traductrice	0.5966698770387125
sculptrice	0.5958441802564411
directrice	0.593307966353559
ingénieure	0.5854266428004036
esthéticien	0.5788786144001394
professeure	0.5701850851749498
cheffe	0.5672627883969908
plasticienne	0.566550993548675
youtubeuse	0.5540193296865015
standardiste	0.5467591755208834
Réso-Liain	0.5442496985382524
poétesse	0.5439006288344509
danseuse	0.5425480252900595
astrophysicienne	0.5409941580612475
entrepreneure	0.5397986232739503
blogueuse	0.538080800291896
angiopathie	0.5349895686486821
Directrice	0.5326335352492764
jet-setteuse	0.5319160489719726
thermopile	0.5316914028687691
directice	0.5302655971362925
cocréatrice	0.5288994022283765
syssarcose	0.5283800652855659
coiffeuse	0.5281096040235151
écrivaine	0.5271116034170262
sous-spécialité	0.5258990221479913
radiosource	0.5244690679864423
parolière	0.5239128350564811
généticienne	0.5204967913180193
co-directrice	0.5173092205797643
imprimeuse	0.5163604271604598
grenailleuse	0.5159876537167217
surintendante	0.514884742307267
glycosyltransférase	0.5131560955449223
dactylo	0.5124589613764299
scripte	0.5117492215811243
co-détenue	0.5096449126488931
Raquella	0.5093238491417815
petite-cousine	0.5082171655668895
polychimiothérapie	0.5068722198064688
neuropédagogie	0.5053214065549831
tétraparésie	0.5049243647397694
call-girl	0.504681695002092
doubleuse	0.5045583644036
hackeuse	0.5038832947710098
R-173	0.5030337725436665
costumier	0.5027738574159868
phycobiliprotéine	0.5022291517043191
co-créatrice	0.5015625361799726
synostose	0.5005023766644376
barmaid	0.500324976110907
modiste	0.5001288389180844
sous-directrice	0.4996553768363782
phallolysine	0.4987486235109834
Albertovna	0.49816066527071845
sulfone	0.4966709628272157
thyronamine	0.49657114468477415
neurohormone	0.49591561257614386
ranitidine	0.4958295756219619
médiatrice	0.49557245919124143
Darsonval	0.49540425829920265
esthéticienne	0.49537059958825136
auteure-compositrice	0.49502552900105756
pasteure	0.4949277445357622
Luplau	0.4944141096816397
intrafusales	0.4941221976058565
régisseuse	0.4938181030179571
connectique	0.49202719872870737
sous-discipline	0.49122164267171187
Youtubeuse	0.4908842125678096
autrice	0.49081097810475277
curleuse	0.4897726315101316
nanostructure	0.48969959885805886
transsexuelle	0.48937718029980015
flavoprotéine	0.48928130361033056
ballerine	0.4890370338530796
paracrine	0.4889180202697524
manucure	0.4887744398804422
journaliste-présentatrice	0.4887544402300705
fibration	0.4885630867340421
hypervolémie	0.48849717747280347
compositrice-interprète	0.48754288581621996
snowboardeuse	0.48725193077101625
acanthose	0.4871157197586332
Δ3	0.4866854914672971
agente	0.48561267779089434
ESINSA	0.4838667037353878
synoviale	0.4829706704789182
syndesmose	0.4822886266873381
cardioïde	0.48141880446408847
Hertziens	0.4808648861872287
suffragiste	0.48075831699895133
Shelburn	0.4807382177020293
gliose	0.47963663209028723
petite-nièce	0.47958098636661706
canadienne	0.47944315637352697
génératrice	0.478673790136526
