LEMME	SUFF	FREQR_W18	FREQR_LM	RATIO_FREQR	PAGE_W18	NB_CAT_W18	NB_SYN	NB_DEF_G	NB_DEF_T	NB_DOM_G	NB_DOM_T	LST	NSS
domiciliation	['ion']	24.4324334324324	50.990100009901	0.479160335588443	1	0	0	2	1	0	1	0	0
cotation	['ion']	187.675676675676	1094.55445644554	0.171463078488697	1	0	2	6	13	3	10	0	0
fornication	['ion']	20.3243253243243	22.2772287227723	0.912336340271461	1	1	3	2	3	0	1	0	0
filage	['age']	49.1891901891892	20.7920802079208	2.36576570007894	1	1	1	2	9	2	4	0	0
amassement	['ment']	0.540541540540541	0.495050504950495	1.09189170627065	0	0	1	1	1	0	0	0	0
crissement	['ment']	9.08108208108108	43.0693079306931	0.210848107791616	1	2	1	4	1	0	0	0	0
collure	['autre']	3.13513613513514	3.46534753465347	0.904710452208266	0	0	2	1	2	0	2	0	0
greffe	['conv']	360.324325324324	833.168317831683	0.43247482845011	1	0	12	12	0	4	0	0	0
encaissement	['ment']	35.7837847837838	70.7920802079208	0.505477232462792	0	0	4	3	7	2	6	0	0
fourmillement	['ment']	14.1621631621622	46.5346544653465	0.304335840136268	0	0	11	1	5	0	0	0	0
retransmission	['ion']	217.081082081081	933.663367336634	0.232504658183523	0	0	0	2	0	0	0	0	0
encavage	['age']	0.972973972972973	1E-06	972973.972972973	1	1	0	1	0	0	0	0	0
clivage	['age']	233.513514513514	1408.41584258416	0.165798699115073	1	3	0	3	5	2	2	0	0
distraction	['ion']	158.162163162162	324.257426742574	0.487767280308821	1	0	60	4	0	0	0	0	0
retenue	['conv']	487.351352351351	1051.9801990198	0.463270461559493	1	0	82	8	14	3	8	0	0
bougonnement	['ment']	0.540541540540541	4.45544654455446	0.121321518535825	0	0	1	2	2	0	0	0	0
cri	['conv']	1373.51351451351	3134.15841684158	0.438239977638928	1	2	77	11	21	5	0	0	0
manger	['autre']	2551.13513613513	3236.13861486139	0.788326904298692	0	0	217	6	0	0	0	0	0
amortissement	['ment']	172.540541540541	438.118812881188	0.393821348154093	1	0	17	8	13	6	11	0	0
migration	['ion']	1224.43243343243	836.138614861386	1.46438929104526	1	2	7	4	16	3	3	0	0
compliment	['conv']	101.513514513514	446.039604960396	0.227588566989532	0	0	22	6	5	0	0	0	0
traque	['conv']	213.405406405405	309.405941594059	0.689726271273075	0	0	1	6	2	1	2	0	0
fouissement	['ment']	1.18919018918919	1.48514951485149	0.800720854902012	0	0	0	1	0	0	0	0	0
ramassement	['ment']	0.540541540540541	0.99010000990099	0.545946404540077	0	0	1	1	0	0	0	0	0
coffrage	['age']	57.6216226216216	18.3168326831683	3.1458289551649	1	3	0	2	4	0	3	0	0
adaptation	['ion']	6674.81081181081	4143.06930793069	1.61107872345602	1	0	26	11	13	6	10	1	0
soupir	['conv']	139.135136135135	351.485149514851	0.395849259427264	1	0	7	2	6	1	1	0	0
connexion	['ion']	1408.10810910811	826.237624762376	1.70424108864938	1	0	16	3	3	0	2	0	0
souffle	['conv']	769.513514513513	2726.73267426733	0.282210838552511	1	1	34	13	62	1	3	0	0
vomissure	['autre']	2.59459559459459	8.41584258415842	0.308298969312774	0	0	5	2	1	0	0	0	0
avancement	['ment']	1104.97297397297	520.29703070297	2.12373492210796	0	0	48	3	14	1	5	0	0
initiation	['ion']	664.756757756757	868.811882188119	0.765133133403464	1	4	16	5	5	2	2	0	0
culbutage	['age']	1.2972982972973	1E-06	1297298.2972973	1	1	1	1	0	0	0	0	0
testage	['age']	2.05405505405405	0.495050504950495	4.14918282783988	0	0	0	1	0	0	0	0	0
commandement	['ment']	5658.59459559459	2918.31683268317	1.93899254947995	1	0	66	7	37	4	17	0	0
agitation	['ion']	462.702703702703	1186.63366436634	0.389928853021194	1	0	125	2	10	1	4	0	0
vol	['conv']	14703.2432442432	8260.89109010891	1.77986164977384	1	0	87	7	0	0	0	0	0
prolongement	['ment']	1243.24324424324	982.673268326733	1.2651644084714	0	0	21	1	8	0	3	0	0
centralisation	['isation']	168.324325324324	246.039604960396	0.684135082038596	1	0	6	2	1	1	0	0	0
embarquement	['ment']	244.972973972973	292.079208920792	0.838721026663032	0	0	3	1	5	0	1	0	0
assouplissement	['ment']	70.9189199189189	1096.0396049604	0.0647047055580455	0	0	6	2	3	1	1	0	0
puddlage	['age']	12.5405415405405	1E-06	12540541.5405405	1	2	0	2	1	2	1	0	0
fabrication	['ion']	3842.91891991892	3584.65346634653	1.07204753709027	1	1	15	4	11	0	8	0	0
redistribution	['ion']	177.405406405405	846.039604960396	0.209689245474164	1	0	1	1	3	0	1	0	0
cadastration	['ion']	3.56756856756757	1E-06	3567568.56756757	0	0	0	1	0	0	0	0	0
dissociation	['ion']	104.108109108108	139.108911891089	0.748392807425711	1	1	9	4	7	2	3	0	0
moulinage	['age']	22.2702712702703	2.47524852475248	8.99718595832606	1	4	0	1	0	0	0	0	0
location	['ion']	845.837838837838	1748.51485248515	0.48374644209379	1	4	6	2	8	0	2	0	0
rugissement	['ment']	26.2702712702703	49.009901990099	0.536019665486729	1	2	4	1	5	0	0	0	0
demande	['conv']	15143.7837847838	19720.7920802079	0.767909510084147	1	0	80	12	12	3	0	1	0
saccagement	['ment']	0.756757756756757	1E-06	756757.756756757	0	0	1	1	0	0	0	0	0
sprint	['conv']	2015.13513613514	653.960397039604	3.08143298165668	1	2	5	2	8	1	7	0	0
hybridation	['ion']	226.918919918919	80.6930703069307	2.81212400340936	1	0	3	1	5	1	4	0	0
sermon	['conv']	492.756757756757	206.435644564356	2.38697516989678	1	4	29	2	5	1	4	0	0
inclination	['ion']	77.6216226216216	176.732674267327	0.439203576494354	1	0	68	4	5	0	1	0	1
hachure	['autre']	37.5135145135135	28.2178227821782	1.32942625669923	1	6	2	11	6	2	1	0	0
cochage	['age']	0.972973972972973	0.495050504950495	1.96540345529043	0	0	0	1	0	0	0	0	0
cornage	['age']	4.000001	1E-06	4000001	1	3	1	2	10	2	2	0	0
boisement	['ment']	121.945946945946	25.2475257524752	4.83001574655253	0	0	6	2	1	1	0	0	0
coadministration	['ion']	0.540541540540541	1.48514951485149	0.36396439222794	0	0	0	0	0	0	0	0	0
ficelage	['age']	1.72973072972973	0.99010000990099	1.74702627253049	0	0	0	1	2	0	0	0	0
republication	['ion']	48.7567577567568	8.41584258415842	5.79344935093417	0	0	1	0	0	0	0	0	0
forcement	['ment']	73.1891901891892	15.8415851584158	4.62006733905082	0	0	4	1	5	0	0	0	0
atterrissage	['age']	1081.08108208108	674.257426742574	1.6033654791226	1	3	1	2	4	1	2	0	0
empaquetage	['age']	7.78378478378378	5.94059505940594	1.31027021804145	0	0	9	1	2	0	0	0	0
mandement	['ment']	138.918919918919	10.8910901089109	12.755281475934	1	3	19	1	7	0	5	0	0
cadastrage	['age']	1.51351451351351	1E-06	1513514.51351351	0	0	0	1	0	0	0	0	0
harangue	['conv']	41.6216226216216	66.8316841683168	0.62278278842707	0	0	33	7	4	0	0	0	0
observation	['ion']	5652.43243343243	3682.17821882178	1.53507845017917	1	1	51	8	15	1	4	1	0
estampage	['age']	25.4054064054054	5.44554555445545	4.66535559226369	1	1	0	3	2	0	1	0	0
carburation	['ion']	13.1891901891892	10.3960406039604	1.26867436283047	1	0	0	2	4	2	4	0	0
influence	['conv']	8522.81081181081	7366.83168416832	1.15691672854787	1	0	111	7	15	0	7	1	0
sautillement	['ment']	3.56756856756757	14.3564366435644	0.248499586362666	0	0	2	1	0	0	0	0	0
archivage	['age']	216.540541540541	91.5841594158416	2.36438858992339	0	0	0	2	0	1	0	0	0
chiffrement	['ment']	345.405406405405	41.5841594158416	8.30617743048143	1	1	0	1	0	1	0	0	0
individualisation	['isation']	37.9459469459459	189.108911891089	0.200656577030064	1	1	1	1	5	0	2	0	0
empilement	['ment']	106.810811810811	131.188119811881	0.814180521559219	0	0	6	2	4	1	0	0	0
revision	['ion']	427.135136135135	23.2673277326733	18.3577220831995	0	0	2	2	0	2	0	0	0
lestage	['age']	16.000001	7.92079307920792	2.01999987122502	0	0	0	1	0	1	0	0	0
sublimation	['ion']	68.2162172162162	54.9504960495049	1.24141221864058	1	0	6	2	4	2	3	0	0
suppression	['ion']	5854.05405505405	5836.13861486139	1.00306974206319	1	0	52	3	37	2	15	0	0
gravure	['autre']	2476.64864964865	867.326733673267	2.85549672746699	1	2	7	5	9	2	4	0	0
diffraction	['ion']	160.540541540541	22.7722782277228	7.0498234711141	1	3	2	2	2	1	2	0	0
effritement	['ment']	12.6486496486486	200.990100009901	0.0629317048353405	0	0	4	1	3	0	1	0	0
soustraction	['ion']	98.2702712702703	118.811882188119	0.827108109563282	1	3	6	2	10	1	6	0	0
exorcisme	['autre']	99.8918928918919	164.356436643564	0.607775971126247	1	1	14	2	3	1	0	0	0
froncement	['ment']	4.97297397297297	27.7227732772277	0.179382268983093	1	1	8	1	1	0	0	0	0
enseignement	['ment']	10070.8108118108	11493.5643574356	0.87621302657914	1	1	28	5	13	0	0	0	1
essai	['conv']	9590.27027127027	8667.82178317822	1.10642217977788	1	2	31	7	22	2	7	0	0
amalgamation	['ion']	8.97297397297297	1E-06	8972973.97297297	0	0	0	2	3	2	1	0	0
feinte	['autre']	58.8108118108108	152.475248524752	0.385707269736069	1	0	60	8	9	1	7	0	0
torture	['conv']	835.783784783784	2009.40594159406	0.415935758665448	1	2	34	7	11	0	3	0	0
vendange	['conv']	362.702703702703	209.405941594059	1.73205545621917	1	2	0	8	11	1	2	0	0
