NOM_AGENT_INSTRUMENT	VERBE	NOMINALISATION	pVbAg	pVbAc	pAgAc	LABEL
mutilateur	mutiler	mutilation	0.2766599760941722	0.5704540737948425	0.34347616605396986	pVbAc
mystificateur	mystifier	mystification	0.4045030393924707	0.35411126907446383	0.6411995528411268	pAgAc
nageur	nager	nage	0.3666898553452263	0.7867020949292984	0.5217902269950144	pVbAc
nageuse	nager	nage	0.25148808070518525	0.7867020949292984	0.18707891650193156	pVbAc
naisseur	naître	naissance	0.02982541701599534	0.05360054338230078	0.03506163169007971	pVbAc
narrateur	narrer	narration	0.4895074494728344	0.36247919907443893	0.569571834636646	pAgAc
naufrageur	naufrager	naufrage	0.4412109209938565	0.6803553448888824	0.30365504476660427	pVbAc
navigateur	naviguer	navigation	0.44459580744987326	0.571339180900697	0.5285415634192764	pVbAc
nébuliseur	nébuliser	nébulisation	0.4552153973854064	0.49457414560084095	0.6798927406328825	pAgAc
négateur	nier	négation	0.4357008789796815	0.5181335772595818	0.44364954116219624	pVbAc
négociateur	négocier	négociation	0.6143502989198715	0.6319924736797726	0.5942944298249916	pVbAc
nettoyeur	nettoyer	nettoiement	0.4557146577109141	0.2516684081635838	0.29898666806149704	pAgVb
nettoyeur	nettoyer	nettoyage	0.4557146577109141	0.6475722209708945	0.4501167814971494	pVbAc
nettoyeuse	nettoyer	nettoiement	0.14217248741414007	0.2516684081635838	0.045685717951228284	pVbAc
nettoyeuse	nettoyer	nettoyage	0.14217248741414007	0.6475722209708945	0.11795778319914127	pVbAc
neutralisateur	neutraliser	neutralisation	0.12523900262554177	0.546736199903381	0.03682678064531779	pVbAc
neutraliseur	neutraliser	neutralisation	0.08582911713953477	0.546736199903381	0.016876555709947734	pVbAc
nicheur	nicher	nichage	0.4624010759887196	0.2410414670611956	0.24560624277564436	pAgVb
nicheuse	nicher	nichage	0.4846260095520612	0.2410414670611956	0.30617966221794934	pAgVb
niveleur	niveler	nivellement	0.004244352949287692	0.44746760666080815	0.0199335573776349	pVbAc
niveleur	niveler	nivelage	0.004244352949287692	0.41688204002641965	0.0008103661944816724	pVbAc
niveleuse	niveler	nivelage	0.24154838075859736	0.41688204002641965	0.2903133743966233	pVbAc
niveleuse	niveler	nivellement	0.24154838075859736	0.44746760666080815	0.096966377272955	pVbAc
nominalisateur	nominaliser	nominalisation	0.5269154010615336	0.48764945220771605	0.48821412248838636	pAgVb
normalisateur	normaliser	normalisation	0.3952880207976952	0.5958095076983558	0.3546241952782553	pVbAc
normalisatrice	normaliser	normalisation	0.1494602523340685	0.5958095076983558	0.35851830335893264	pVbAc
notateur	noter	notation	0.3024976588952603	0.2590239109453602	0.38952730710190714	pAgAc
noteur	noter	notation	0.13552453903107353	0.2590239109453602	0.14283438091167158	pVbAc
noueur	nouer	nouage	0.10519412089977888	0.15430680285295706	0.33728183132842254	pAgAc
nourrisseur	nourrir	nourrissage	0.1595128932675338	0.422719031869623	0.34967532991591876	pVbAc
